"","Coal","Oil","Gas","Cement","Flaring","Other"
"47218",45.519425,15.59637,0,NA,0,NA
"47219",53.38559,15.845082,0,NA,0,NA
"47220",59.8525,15.354018,0,NA,0,NA
"47221",51.887048,15.988532,0,NA,0,NA
"47222",44.822493,17.478169,0,NA,0,NA
"47223",47.712974,18.688803,0,NA,0,NA
"47224",44.524963,16.586352,0,NA,0,NA
"47225",17.360297,7.011211,0,NA,0,NA
"47226",12.400754,8.416156,0,NA,0,NA
"47227",11.583752,7.398743,0,NA,0,NA
"47228",13.357684,7.200487,0.028038,NA,0,NA
"47229",16.256629,8.824051,0.02549,NA,0,NA
"47230",17.814341,9.901298,0.017843,NA,0,NA
"47231",22.662002,10.231954,0.147904,NA,0,NA
"47232",21.486274,10.875848,0.249692,NA,0,NA
"47233",33.986772,12.968585,0.295938,NA,0,NA
"47234",42.82666,15.610606,0.308797,NA,0,NA
"47235",49.085223,15.250725,0.339546,0.586778,0,NA
"47236",50.437653,18.695958,0.420944,0.727641,0,NA
"47237",59.534268,34.530679,0.527161,0.951295,0,NA
"47238",71.149106,41.747202,0.868172,1.018219,0,NA
"47239",87.78564,39.425495,1.050066,1.065534,0,NA
"47240",102.648887,39.814556,1.239349,0.833133,0,NA
"47241",127.049051,45.097742,1.601882,1.085108,0,NA
"47242",147.148948,47.48862,1.88809,1.376243,0,NA
"47243",171.122441,51.653528,2.355237,1.800945,0,NA
"47244",173.844081,54.02308,2.500369,1.680199,0,NA
"47245",183.341301,57.295576,2.523433,1.754878,0,NA
"47246",185.968366,57.67197,2.523517,1.75507,0,NA
"47247",232.492471,59.248117,3.696035,1.785153,0,NA
"47248",198.068316,61.265225,0,1.783532,0,NA
"47249",83.582405,58.375302,0,NA,0,NA
"47250",96.207685,51.947611,0,NA,0,NA
"47251",144.128757,70.723972,0,NA,0,NA
"47252",186.265418,36.886804,3.76075,0.551808,0,NA
"47253",207.994882,42.291328,4.304072,1.039603,0,NA
"47254",249.715101,51.367369,5.268592,1.468054,0,NA
"47255",262.605184,57.108651,5.818491,2.017009,0,NA
"47256",297.275155,66.608457,6.015628,2.441535,0,NA
"47257",329.77532,74.123283,7.931822,3.203823,0,NA
"47258",357.47933,79.962537,8.584987,3.776553,0,NA
"47259",378.441829,90.195661,8.740047,4.29228,0,NA
"47260",395.85941,99.485385,9.380988,4.854007,0,NA
"47261",430.156961,110.367176,10.244907,5.769865,0,NA
"47262",483.329705,128.639632,12.266855,6.824629,0,NA
"47263",518.640616,149.198433,16.519526,7.53853,0,NA
"47264",554.307921,168.36361,25.725726,8.754546,0,NA
"47265",571.894471,188.004016,38.192097,10.08181,0,NA
"47266",584.261964,205.138952,48.554405,11.729017,0,NA
"47267",585.442882,223.784971,61.663787,13.753032,0,NA
"47268",575.205381,241.894976,79.862331,15.351596,0,NA
"47269",571.179629,269.931647,99.129872,17.28643,0,NA
"47270",592.178088,295.097289,121.249534,18.382487,0,NA
"47271",609.536403,315.847316,147.214068,19.545092,0,NA
"47272",630.06914,336.497926,170.227706,21.769084,0,NA
"47273",651.280927,359.570063,188.617518,24.033092,0,NA
"47274",656.022899,391.600723,206.29142,25.440921,0,NA
"47275",648.750585,416.973449,223.341806,26.244117,0,NA
"47276",657.705199,446.352414,238.846705,26.904782,0,NA
"47277",702.835509,487.538079,221.794773,28.51056,0,NA
"47278",716.493336,518.80994,250.638369,29.731883,13.181248,NA
"47279",738.374945,563.381406,263.59129,30.598216,12.603883,NA
"47280",745.924228,605.227153,278.548335,31.798609,14.984931,NA
"47281",747.393375,648.250937,295.139621,33.09826,16.440451,NA
"47282",769.577455,684.898032,321.879064,34.725565,18.25161,NA
"47283",789.722185,700.981266,353.687936,35.140921,20.253759,NA
"47284",802.153423,725.546972,379.121087,35.725459,21.858137,NA
"47285",797.396634,777.93347,397.570904,35.483309,23.484301,NA
"47286",797.958802,781.040078,422.81752,34.17589,12.728153,NA
"47287",840.969337,799.683009,441.379368,34.526931,12.770147,NA
"47288",761.398584,807.26188,472.650352,34.800814,12.673814,NA
"47289",771.460473,810.519979,500.031868,33.544954,12.60821,NA
"47290",765.436755,809.622054,536.448989,34.444657,12.398292,NA
"47291",760.129771,790.351441,580.164343,34.660833,12.209923,NA
"47292",866.020998,797.88048,636.962917,34.496921,13.020442,NA
"47293",893.978763,804.183763,603.894108,35.353033,11.393434,NA
"47294",900.889384,708.998708,701.871106,35.641717,10.449638,NA
"47295",916.013321,711.90337,750.139328,35.870706,22.981759,NA
"47296",882.512192,714.897464,749.210882,35.793898,22.410226,NA
"47297",753.267502,888.018985,787.971744,34.609276,33.221968,37.775584
"47298",704.590959,844.241487,754.748709,32.836858,33.629087,35.484815
"47299",521.106988,585.184698,774.149795,26.717383,27.375474,31.075866
"47300",507.105084,509.802863,781.479886,21.994949,22.062712,23.493975
