"","Coal","Oil","Gas","Cement","Flaring","Other"
"59458",476.968528,4.382144,0,NA,0,NA
"59459",450.921152,4.96472,0,NA,0,NA
"59460",492.470912,5.851408,0,NA,0,NA
"59461",475.433312,7.74936,0,NA,0,NA
"59462",482.427888,7.0532,0,NA,0,NA
"59463",501.660224,5.411728,0,NA,0,NA
"59464",491.26172,9.907528,0,NA,0,NA
"59465",450.976112,15.872448,0,NA,0,NA
"59466",447.579584,8.551776,0,NA,0,NA
"59467",470.75072,0,0,NA,0,NA
"59468",318.870592,0.93432,0,NA,0,NA
"59469",426.592192,1.63048,0,NA,0,NA
"59470",452.207194,2.685734,0,NA,0,NA
"59471",472.135712,3.8472,0,NA,0,NA
"59472",445.238252,4.41882,0,NA,0,NA
"59473",241.534544,4.83648,0,NA,0,NA
"59474",460.3816,6.353376,0,NA,0,NA
"59475",431.19784,4.26856,0,2.173302,0,NA
"59476",454.713392,3.605376,0,2.355016,0,NA
"59477",434.847236,3.700609,0,2.525806,0,NA
"59478",406.553776,2.700368,0,2.958307,0,NA
"59479",390.765648,2.997124,0,2.136939,0,NA
"59480",386.647264,3.2976,0,2.209645,0,NA
"59481",416.611456,3.982768,0,2.609416,0,NA
"59482",422.283328,3.832544,0,2.991016,0,NA
"59483",446.190866,4.294243,0,3.31086,0,NA
"59484",460.315709,4.206239,0,3.608816,0,NA
"59485",439.800837,5.235899,0,3.903253,0,NA
"59486",447.352416,5.103952,0,NA,0,NA
"59487",470.893649,4.250207,0,NA,0,NA
"59488",463.092909,2.971527,0,3.587066,0,NA
"59489",463.360432,1.890624,0.003664,3.645187,0,NA
"59490",449.444516,1.875983,0,3.499844,0,NA
"59491",437.551179,2.180098,0.003664,2.289618,0,NA
"59492",412.929136,2.6564,0.003664,2.035199,0,NA
"59493",427.119808,5.704848,0,3.303564,0,NA
"59494",451.921498,5.851362,0,3.496154,0,NA
"59495",457.750848,13.534816,0,4.277552,0,NA
"59496",463.045328,17.433312,0,4.630078,0,NA
"59497",453.925291,41.967761,0,4.899051,0,NA
"59498",486.054853,54.048025,0.014656,5.135278,0,NA
"59499",469.747191,53.347472,0.01832,5.593124,0,NA
"59500",478.419472,56.136144,0.021984,5.63314,0,NA
"59501",483.95944,63.009808,0.032976,6.007472,0,NA
"59502",499.93313,70.705517,0.025648,6.287351,0,NA
"59503",494.885488,72.990544,0.03664,6.410877,0,NA
"59504",482.581776,82.062608,0.062288,6.007472,0,NA
"59505",458.868368,91.47176,0.117248,5.858466,0,NA
"59506",425.558682,114.591862,0.135568,6.32002,0,NA
"59507",448.05224,129.145008,0.150224,6.672546,0,NA
"59508",442.882336,138.477216,0.150224,7.105025,0,NA
"59509",437.313056,148.359024,0.216176,7.043243,0,NA
"59510",439.306534,156.840922,0.289456,6.948751,0,NA
"59511",426.243017,172.725665,0.512963,8.384344,0,NA
"59512",422.268672,189.773216,1.68544,8.384293,0,NA
"59513",403.344112,204.791952,1.6488,8.289802,0,NA
"59514",368.478872,212.114976,2.777295,8.685885,0,NA
"59515",370.300733,220.841606,6.265478,8.834998,0.245489,NA
"59516",367.944062,238.096324,12.252345,8.609569,1.480247,NA
"59517",352.909152,265.174672,23.105184,8.431539,2.956848,NA
"59518",341.418848,269.54216,37.22624,8.749481,3.451488,NA
"59519",293.154634,289.347715,52.659306,8.92217,3.942486,NA
"59520",295.860672,291.91088,56.99352,9.883943,4.92808,NA
"59521",263.375648,271.425456,68.161392,8.798405,5.42272,NA
"59522",276.199648,241.395312,71.382048,8.356344,5.913696,NA
"59523",274.968544,235.79672,74.038448,7.808584,5.913696,NA
"59524",271.090388,240.239696,79.010017,7.649972,6.371657,NA
"59525",259.145822,247.567653,81.523506,7.880835,8.595692,NA
"59526",281.572673,253.264447,89.193259,7.991736,12.490647,NA
"59527",260.719248,214.530864,88.423312,7.334167,8.027824,NA
"59528",261.41724,195.249064,89.606784,6.304861,7.976528,NA
"59529",244.751365,196.244728,93.314128,6.422661,7.507486,NA
"59530",247.234067,187.284103,97.168627,6.638931,7.159408,NA
"59531",177.559272,238.803032,99.609504,6.680397,6.455968,NA
"59532",234.314929,205.724926,107.940733,6.612434,5.034303,NA
"59533",248.487214,201.31352,108.266838,6.650219,3.836183,NA
"59534",259.297616,193.726672,107.509088,7.096494,4.037728,NA
"59535",249.779381,206.462632,105.863272,8.188447,0,NA
"59536",245.895033,222.612606,104.710452,8.358009,0,NA
"59537",252.689667,217.799809,113.517625,7.295263,6.78708,3.855634
"59538",253.622509,218.39034,121.693416,5.994176,6.260327,3.451905
"59539",237.74694,218.44676,122.295506,5.456386,6.444191,3.45614
"59540",207.685853,219.163179,137.590681,5.524922,6.635621,3.01228
"59541",195.375628,215.736312,145.455289,6.36781,7.425508,3.656342
"59542",181.699266,211.595054,154.253805,6.284903,8.341181,3.984749
"59543",173.071522,216.892453,177.542516,6.416449,8.706841,4.130894
"59544",154.728657,207.743352,182.886752,6.710493,7.210749,3.428103
"59545",154.087839,204.933885,191.361381,6.838169,7.448362,3.87406
"59546",138.3134,201.66302,205.231254,6.530861,6.170552,3.740487
"59547",144.44308,198.237954,210.131006,6.331884,6.446023,3.443769
"59548",153.533658,198.650759,210.160357,5.843838,6.49308,3.288881
"59549",141.691083,196.130348,207.030373,5.988265,6.178655,3.254476
"59550",153.102776,194.397355,208.462265,5.867549,5.56312,4.225717
"59551",147.662298,197.952289,211.734175,5.97663,5.618775,4.485595
"59552",148.032654,200.447656,205.437837,5.941163,5.991193,4.487867
"59553",160.843769,197.183104,194.12641,5.89278,5.271742,4.527855
"59554",150.843509,196.16027,196.519574,6.117015,5.417125,4.508983
"59555",139.219107,188.799534,202.654948,5.204877,4.749941,4.303998
"59556",113.823148,180.26388,188.07048,3.721209,4.880534,3.34845
"59557",118.030363,179.84842,201.927123,3.79201,4.737995,3.568671
"59558",117.149672,172.059735,168.235546,4.096816,4.453032,3.718514
"59559",148.005461,170.288365,158.2399,3.723954,3.645807,3.573288
"59560",142.456568,165.756488,157.622225,4.02911,4.215954,3.530924
"59561",115.433547,166.510706,144.492208,4.214814,4.436023,3.719782
"59562",91.548016,170.772559,147.8994,4.393361,4.641191,3.206267
"59563",47.824616,173.93028,165.742039,4.553321,4.5586,2.821275
"59564",39.128801,174.850612,161.697365,4.40979,4.301261,2.979312
"59565",33.280249,173.087118,161.485261,4.363948,4.476409,3.036771
"59566",24.512705,168.995529,159.320842,4.448499,4.28319,3.192541
"59567",22.809405,143.980921,149.420095,3.899688,3.442599,2.710492
