"","Coal","Oil","Gas","Cement","Flaring","Other"
"7506",4.605648,0,0,NA,0,NA
"7507",5.591264,0,0,NA,0,NA
"7508",6.034608,0,0,NA,0,NA
"7509",4.107344,0,0,NA,0,NA
"7510",3.143712,0,0,NA,0,NA
"7511",2.879904,0,0,NA,0,NA
"7512",2.498848,0,0,NA,0,NA
"7513",2.322976,0,0,NA,0,NA
"7514",3.070432,0,0,NA,0,NA
"7515",3.64568,0,0,NA,0,NA
"7516",2.890896,0,0,NA,0,NA
"7517",3.781248,0,0,NA,0,NA
"7518",4.61664,0,0,NA,0,NA
"7519",5.103952,0,0,NA,0,NA
"7520",5.375088,0,0,NA,0,NA
"7521",5.47768,0,0,NA,0,NA
"7522",6.074912,0,0,NA,0,NA
"7523",5.884384,0,0,0.043611,0,NA
"7524",6.298416,0,0,0.047246,0,NA
"7525",5.470381,0,0,0.043582,0,NA
"7526",4.08536,0,0,0.083589,0,NA
"7527",4.096352,0,0,0.072686,0,NA
"7528",4.612976,0,0,0.109029,0,NA
"7529",4.462752,0,0,0.159909,0,NA
"7530",5.320255,0.007323,0,0.181593,0,NA
"7531",4.865993,0.040275,0,0.239692,0,NA
"7532",5.686528,0.117248,0,0.283474,0,NA
"7533",5.642287,0.146648,0,0.305463,0,NA
"7534",5.473723,0.128319,0,0.34547,0,NA
"7535",5.968656,0.150224,0,0.367063,0,NA
"7536",5.759808,0.142896,0,0.377966,0,NA
"7537",5.444969,0.047602,0.003662,0.370466,0,NA
"7538",5.96162,0.131829,0.010986,0.370487,0,NA
"7539",5.408064,0.080608,0.007328,0.399771,0,NA
"7540",6.37536,0.062288,0.003664,0.3816,0,NA
"7541",6.892264,0.142826,0.018311,0.40684,0,NA
"7542",8.4272,0.065952,0.003664,0.450651,0,NA
"7543",7.232736,0.058624,0.007328,0.548777,0,NA
"7544",6.679816,0.043946,0.010987,0.632051,0,NA
"7545",6.382688,12.578512,0.003664,0.68688,0.007328,NA
"7546",6.276432,14.645008,0.003664,0.719588,0.014656,NA
"7547",6.008077,18.108492,0.003663,0.799425,0.014654,NA
"7548",5.61976,18.537148,0.007327,1.002917,0.051289,NA
"7549",5.75177,22.549137,0.014654,1.235504,0.124561,NA
"7550",5.861769,26.656394,0.014654,1.369978,0.120899,NA
"7551",5.070976,29.737024,0.01832,1.617256,0.16488,NA
"7552",5.027008,29.05552,0.032976,1.679039,0.179536,NA
"7553",3.949792,32.855088,0.065952,1.871656,0.31144,NA
"7554",4.107344,32.474032,0.0916,1.897096,0.447008,NA
"7555",4.96472,39.017936,0.113584,2.209645,0.545936,NA
"7556",4.679277,41.472243,0.113592,2.308675,0.549641,NA
"7557",5.667821,44.825979,0.109912,2.462119,0.520252,NA
"7558",5.419056,46.910192,0.16488,2.492637,0.49464,NA
"7559",6.169777,46.998754,0.161206,2.679453,0.556892,NA
"7560",6.943731,45.766336,0.194205,2.651179,0.64857,NA
"7561",8.364912,51.856592,0.245488,2.825237,0.773104,NA
"7562",8.123088,53.725232,0.25648,2.965016,0.84272,NA
"7563",8.533052,63.977738,0.230821,3.337405,0.989233,NA
"7564",9.41648,69.421808,0.234496,3.552057,1.275072,NA
"7565",8.903868,78.255109,0.153894,4.047266,1.887034,NA
"7566",8.984128,87.052976,0.249152,4.407019,1.381328,NA
"7567",9.372512,97.726208,0.2748,5.116804,1.223776,NA
"7568",9.009776,115.364704,0.377392,6.023212,0.926992,NA
"7569",9.541056,124.836144,0.692496,6.707495,0.839056,NA
"7570",11.061616,129.7056,0.780432,7.524738,0.80608,NA
"7571",11.519616,132.208112,0.916,8.607915,0.84272,NA
"7572",15.055376,135.2932,1.132176,9.496334,0.820736,NA
"7573",17.707745,145.468777,1.483889,10.79531,1.018571,NA
"7574",18.462536,154.526191,1.630448,11.338602,1.154138,NA
"7575",19.986728,150.210064,1.883259,12.083044,1.308022,NA
"7576",19.723312,135.527696,1.68544,11.929799,1.747728,NA
"7577",21.551648,133.193728,2.3816,11.55576,2.128784,NA
"7578",23.926447,125.740255,3.378282,9.251676,3.052179,NA
"7579",28.996896,122.062496,4.169632,8.245668,3.601712,NA
"7580",34.870994,127.517108,4.994133,8.758983,3.447894,NA
"7581",35.123104,142.375712,5.986976,10.496747,2.630752,NA
"7582",40.234384,145.541408,6.639168,10.664273,2.25336,NA
"7583",39.776384,147.651872,6.840688,10.500034,2.300992,NA
"7584",39.930272,151.57968,7.306016,10.514784,2.114128,NA
"7585",37.094715,151.775296,7.483989,11.062,7.554,3.688
"7586",42.466107,156.700232,7.335661,11.776,7.361,3.755
"7587",41.203075,163.251665,7.98326,9.77,7.445,3.948
"7588",42.34261,171.252419,8.72997,10.164,7.576,4.241
"7589",43.666838,179.161864,8.985299,10.086,8.004,4.098
"7590",45.582308,190.346969,9.602722,11.528,7.514,4.104
"7591",46.468484,206.281426,10.60809,13.884,7.821,4.248
"7592",47.044057,219.832627,11.863316,15.267,8.604,4.338
"7593",45.590741,229.57814,12.411119,16.175,9.463,4.141
"7594",46.804688,235.468487,14.068825,16.439,10.123,4.352
"7595",50.460434,239.488193,18.442373,16.047,10.737,5.008
"7596",49.426704,241.794706,23.18559,15.227,11.721,4.811
"7597",48.688815,239.219326,29.292858,14.39,11.218,4.956
"7598",51.933112,232.433668,30.91922,13.096,11.199,5.064
"7599",53.832656,239.768252,38.215091,13.273,10.84,5.505
"7600",50.948421,240.221198,39.619381,14.349,13.877,5.356
"7601",50.837875,242.248571,42.052554,15.44,12.882,5.41
"7602",54.989055,256.003342,43.245603,17.2,13.469,5.666
"7603",55.315497,267.238809,51.302693,18.884,14.207,5.69
"7604",43.586053,262.705409,40.958538,19.031,18.434,5.06
"7605",56.688185,286.079991,55.048824,21.288,15.214,5.95
"7606",62.292401,303.885017,53.100582,22.845,14.12,6.337
"7607",61.016471,327.733969,63.39656,24.998,14.761,6.403
"7608",65.604089,342.338124,74.703787,26.652,16.634,6.486
