Coal,Oil,Gas,Cement,Flaring,Other
24.630507,0,0,NA,0,NA
17.029154,0,0,NA,0,NA
24.251576,0,0,NA,0,NA
26.718416,0,0,NA,0,NA
25.420578,0,0,NA,0,NA
30.130689,0,0,NA,0,NA
32.023449,0,0,NA,0,NA
34.747962,0,0,NA,0,NA
37.997294,0,0,NA,0,NA
40.278458,0,0,NA,0,NA
38.762734,0,0,NA,0,NA
39.971524,0,0,NA,0,NA
46.517555,0,0,NA,0,NA
48.846085,0,0,NA,0,NA
45.954842,0,0,NA,0,NA
43.652837,0.007328,0,NA,0,NA
45.797586,0.010991,0,NA,0,NA
47.540668,0.010991,0,0.039782,0,NA
48.194324,0.010992,0,0.076511,0,NA
49.331117,0.153888,0,0.073451,0,NA
51.619859,0.186864,0,0.097934,0,NA
49.973404,0.216176,0,0.079572,0,NA
53.730504,0.267449,0,0.113227,0,NA
62.002565,0.282128,0,0.097934,0,NA
72.057496,0.432379,0,0.156093,0,NA
74.539493,0.509296,0,0.428463,0,NA
69.937378,0.593604,0,0.437671,0,NA
60.520945,0.835392,0,0.009181,0,NA
73.02377,1.179808,0,0.223413,0,NA
88.722876,1.795284,0,0.272368,0,NA
111.449256,2.03352,0,0.495793,0,NA
124.452269,2.506176,0,0.654936,0,NA
107.402274,0.95264,0,0.639634,0,NA
101.898303,0.615575,0,0.48969,0,NA
55.335276,0.538569,0,0.018361,0,NA
35.805179,0.216176,0,0.085693,0,NA
41.50051,0.161198,0,0.174427,0,NA
38.093921,0.223538,0,0.082645,0,NA
61.443642,0.362736,0,0.27472,0,NA
77.614512,0.619216,0.014656,0.586903,0,NA
100.133456,0.937984,0.007328,1.036445,0,NA
125.444368,1.33736,0.014656,1.202942,0,NA
130.236986,1.908892,0.021983,1.615023,0,NA
155.591889,3.341492,0.029311,1.914718,0,NA
183.196336,5.419056,0.032976,1.873093,0,NA
205.022784,8.093776,0.047632,2.659792,0,NA
243.809709,8.98792,0.131906,2.855427,0,NA
508.174816,12.358672,0.212512,3.871059,0,NA
695.438192,19.049136,0.556928,5.107301,0,NA
748.375664,22.9916,1.993216,6.514202,0,18.925239
522.475408,22.335744,2.817616,2.584869,0,20.41655
411.9252,21.76416,2.322976,2.497458,0,21.10828
406.128498,23.270259,1.956592,3.354918,0,22.069181
401.574106,27.729385,2.029873,5.032377,0,24.271353
432.9932,34.998528,2.110464,6.80141,0,23.382762
469.765473,44.5466,2.568446,8.387295,0,24.191504
383.598816,42.498736,2.799296,6.085472,0,25.243576
412.720288,48.650592,2.685712,5.252986,0,26.196988
501.176576,66.84968,3.759264,7.613083,0,28.284762
665.866048,94.644784,5.503328,10.718256,0,31.220211
736.42428,120.090762,7.174082,13.124041,0.791421,31.605115
770.72177,138.327537,9.280949,14.717164,1.02226,34.575917
783.741289,158.819143,11.468277,15.455909,1.264075,37.543884
776.101152,182.573456,14.439824,15.340213,1.634144,38.011078
906.63848,204.191056,16.971648,19.102242,1.90528,34.40625
910.389543,238.985133,19.367963,19.25301,1.905286,36.520343
998.608544,257.483936,23.237088,22.905977,2.18008,36.415489
1117.44672,281.992432,26.285536,26.810098,2.737008,37.506052
1147.547329,278.426677,27.776716,30.319954,3.063096,38.527375
1122.664256,273.202496,27.318784,32.712365,3.011808,35.586175
1125.00473,256.374392,24.387646,33.902721,2.689383,34.128983
1248.85608,257.810032,22.9,38.869883,2.524496,35.624522
1321.84296,263.77136,23.438608,44.126482,2.671056,38.366345
1454.197632,271.451104,24.226368,50.065792,3.213328,41.673789
1584.511456,284.593872,24.819936,59.301036,0,44.856604
1657.391354,303.068297,26.351535,67.361985,0,50.040183
1770.268928,321.523328,26.60064,75.428702,0,63.916942
1892.697824,343.129936,27.311456,84.960637,0,77.7937
1920.239372,354.441244,28.821068,84.886084,0,75.2666
1976.684032,330.29128,29.301008,84.5131,0,64.0654
2049.920064,356.027216,30.7776,101.305072,0,68.06623
2114.714976,385.793018,30.23895,122.445142,0,77.595502
2228.745248,428.548768,35.727664,142.773793,0,85.855483
2380.585832,423.711771,41.568029,164.376768,0,89.759644
2569.753728,468.229888,42.436448,184.6369,0,92.851924
2660.401088,510.622368,44.469968,192.853167,0,94.887113
2609.55576,557.961248,44.158528,202.87375,0,95.62
2444.771024,559.261968,50.500912,211.368717,0,94.552813
2580.992136,596.751382,54.571558,228.321991,0,92.205
2601.736784,648.685552,59.79648,244.3882,0,89.857187
2637.654976,659.30016,67.157456,270.828174,0,88.79
3018.634032,653.086016,53.992704,296.590305,0,90.156
3601.712,727.098816,60.745456,345.186136,0,92.70359
3835.288336,839.09264,71.52128,379.99216,0,97.86024
4424.38992,850.172576,84.957168,411.648776,0,105.3869
4905.374192,898.533712,103.753488,470.086624,0,111.0558
5289.903664,927.351072,129.515072,514.980844,0,116.8613
5729.473744,970.11728,149.6744,525.924483,0,121.6423
6028.500112,982.347712,164.40368,583.560264,0,127.721
6568.793552,1092.571824,199.585408,639.591911,0,116.11
7309.786256,1123.85872,245.989968,708.56429,0,140.3565
7464.806432,1176.71192,277.599296,714.781655,3.659815,141.7225
7493.454393,1234.621903,320.127464,748.323128,3.564518,156.216868
7425.066688,1255.605168,370.221552,778.627084,3.877594,165.223167
7266.978828,1328.805063,380.052208,721.994964,3.854226,165.21903
7071.403711,1357.837577,421.726239,743.044097,3.04058,167.927541
7163.317856,1430.586816,486.35936,758.185168,2.924697,169.733211
7316.399776,1500.473952,575.368912,786.74461,3.350856,171.538883
7543.157408,1559.72816,630.17136,826.876048,3.806248,177.256846
7605.716883,1627.725238,687.880944,858.232613,5.118808,171.538883
