"","Coal","Oil","Gas","Cement","Flaring","Other"
"19202",156.555392,0.351744,0,NA,0,NA
"19203",158.240832,0.337088,0,NA,0,NA
"19204",170.841328,0.271136,0,NA,0,NA
"19205",118.350864,0,0,NA,0,NA
"19206",103.2332,0,0,NA,0,NA
"19207",109.689168,0,0,NA,0,NA
"19208",121.604496,0,0,NA,0,NA
"19209",108.28952,0.161216,0,NA,0,NA
"19210",115.994907,0.146565,0,NA,0,NA
"19211",151.517392,0.260144,0,NA,0,NA
"19212",137.616168,0.293128,0,NA,0,NA
"19213",162.35184,0.798752,0,NA,0,NA
"19214",182.441552,1.747728,0,NA,0,NA
"19215",203.341008,3.293936,0,NA,0,NA
"19216",200.01776,13.809616,0,NA,0,NA
"19217",207.389837,6.342275,0,NA,0,NA
"19218",212.849088,0.190528,0,NA,0,NA
"19219",209.152112,0.370064,0,2.096982,0,NA
"19220",230.930928,0.490976,0,2.860182,0,NA
"19221",233.851136,1.315376,0,2.467679,0,NA
"19222",213.706464,1.363008,0,2.424067,0,NA
"19223",186.479382,2.810234,0,2.485803,0,NA
"19224",189.11736,7.9692,0,2.300502,0,NA
"19225",188.20136,10.739184,0,2.40953,0,NA
"19226",178.451774,14.74366,0,2.176895,0,NA
"19227",178.814549,16.971334,0,2.293191,0,NA
"19228",198.585136,17.015616,0,2.10425,0,NA
"19229",182.239677,19.558787,0,0,0,NA
"19230",177.059136,17.557888,0,0,0,NA
"19231",127.349648,10.38744,0,0,0,NA
"19232",118.244608,0,0,1.682674,0,NA
"19233",121.080544,0.175872,0.003664,1.235657,0,NA
"19234",123.517053,0.20519,0.076946,1.446487,0,NA
"19235",78.9592,0.179536,0.113584,0.734125,0,NA
"19236",105.332672,0.908672,0.14656,0.777737,0,NA
"19237",156.790076,7.221584,0.18686,1.046651,0,NA
"19238",167.953783,13.271273,0.49465,1.904403,0,NA
"19239",172.618814,20.609616,0.611877,2.660246,0,NA
"19240",195.774848,29.260704,0.831728,3.183633,0,NA
"19241",166.85059,31.569593,0.447016,3.561663,0,NA
"19242",186.970256,37.3728,0.556928,4.015884,0,NA
"19243",181.829664,40.520176,0.564256,4.273918,0,NA
"19244",166.627728,42.986048,0.523952,4.601004,0,NA
"19245",172.138384,49.009664,0.60456,4.815426,0,NA
