Coal,Oil,Gas,Cement,Flaring,Other
455.138416,3.447824,0,NA,0,NA
495.277536,3.843536,0,NA,0,NA
531.540144,3.543088,0,NA,0,NA
497.58952,0.337088,0,NA,0,NA
462.601984,0.304112,0,NA,0,NA
500.4108,0.285792,0,NA,0,NA
524.300078,0.278466,0,NA,0,NA
503.30536,0.117248,0,NA,0,NA
387.314112,0.113584,0,NA,0,NA
429.102032,0.106256,0,NA,0,NA
473.062704,0.117248,0,NA,0,NA
455.332608,0.12824,0,NA,0,NA
331.771538,0.15755,0,NA,0,NA
451.613647,0.179537,0,NA,0,NA
457.824128,0.241824,0,NA,0,NA
412.943795,0.293117,0,NA,0,NA
481.185791,0,0,NA,0,NA
501.19856,0,0,3.812364,0,NA
535.673136,0,0,3.561598,0,NA
459.289728,0,0,2.802033,0,NA
384.067823,0,0,1.897078,0,NA
346.057472,0,0,1.428274,0,NA
363.036448,0,0,1.944342,0,NA
405.088176,0.31144,0.021984,3.19817,0,NA
446.6416,1.311712,0.025648,4.353872,0,NA
492.445317,1.366662,0.043968,5.778469,0,NA
555.858112,1.384992,0.040304,6.229163,0,NA
591.659056,1.86864,0.032976,7.711951,0,NA
639.397312,2.27168,0.058624,6.897871,0,NA
645.746976,3.238994,0.029312,5.309719,0,NA
652.393473,2.766335,0.025648,5.607731,0,NA
661.989536,2.282672,0.025648,3.601576,0,NA
672.747004,2.180092,0.01832,4.484731,0,NA
597.92816,2.213056,0.131904,0,0,NA
114.258176,1.670784,0.135568,0,0,NA
268.24144,1.993216,0.16488,1.282902,0,NA
314.253952,1.769712,0.117248,1.519131,0,NA
364.809824,9.687616,0.102592,3.216341,0,NA
421.370992,5.91736,0.080608,4.779084,0,NA
496.900688,7.56616,0.043968,6.171014,0,NA
558.774425,11.076413,0.054961,6.959742,0,NA
590.362124,13.054754,0.098927,7.464775,0,NA
597.187877,17.125637,0.227169,8.951294,0,NA
625.474112,24.413232,0.362736,9.481847,0,NA
682.295215,29.880071,0.72914,10.593992,0,NA
715.128283,38.89721,1.058901,11.106425,0,NA
720.170464,45.503002,1.051563,11.182639,0,NA
688.72908,55.125147,1.036917,11.488028,0,NA
670.654483,70.426085,1.187142,13.526871,0,NA
707.213807,90.592808,1.348358,14.795237,0,NA
711.644605,105.69128,1.48025,16.023488,0,NA
732.012868,132.368779,1.96756,16.819397,0,NA
