"","Coal","Oil","Gas","Cement","Flaring","Other"
"25458",22.144394,2.63808,0,NA,0,NA
"25459",25.6086,2.91288,0,NA,0,NA
"25460",28.224158,3.24264,0,NA,0,NA
"25461",28.671398,3.026783,0,NA,0,NA
"25462",29.785537,3.356224,0,NA,0,NA
"25463",30.044423,3.473125,0,NA,0,NA
"25464",31.714883,3.304928,0,NA,0,NA
"25465",36.087407,3.271952,0,NA,0,NA
"25466",39.402687,3.572122,0,NA,0,NA
"25467",31.2773,3.59072,0,NA,0,NA
"25468",33.614395,3.891168,0,NA,0,NA
"25469",33.104192,3.799223,0,NA,0,NA
"25470",34.230991,3.740944,0,NA,0,NA
"25471",36.87942,3.748581,0,NA,0,NA
"25472",36.399298,3.685677,0,NA,0,NA
"25473",36.568086,3.374544,0,NA,0,NA
"25474",38.454338,3.429504,0,NA,0,NA
"25475",39.256575,0.527616,0,0.28882,0,NA
"25476",40.781488,0.633872,0,0.292571,0,NA
"25477",41.451124,0.655856,0,0.292571,0,NA
"25478",37.814537,0.736464,0,0.300073,0,NA
"25479",35.092898,0.7328,0,0.303823,0,NA
"25480",34.459728,0.688832,0,0.318827,0,NA
"25481",38.411242,0.809744,0,0.390094,0,NA
"25482",40.082017,0.857376,0,0.45386,0,NA
"25483",39.375916,0.809744,0,0.498871,0,NA
"25484",43.599263,0.886688,0,0.581391,0,NA
"25485",49.357468,1.022256,0,0,0,NA
"25486",48.359587,0.952704,0,0,0,NA
"25487",51.177419,1.132176,0,0,0,NA
"25488",51.31002,1.187136,0,1.084012,0,NA
"25489",51.253665,1.143168,0,1.132774,0,NA
"25490",44.427878,1.121264,0,1.095343,0,NA
"25491",45.498637,1.139584,0,1.05783,0,NA
"25492",50.792876,0.97096,0,1.110268,0,NA
"25493",50.322142,0.89768,0,1.005243,0,NA
"25494",51.667959,0.76216,0,0.750228,0,NA
"25495",51.628263,0.76944,0,0.806445,0,NA
"25496",54.323382,0.776768,0,1.087763,0,NA
"25497",52.559786,7.188768,0,1.354077,0,NA
"25498",54.512339,7.851952,0,1.657901,0,NA
"25499",58.030006,7.562119,0,1.834102,0,NA
"25500",59.067189,7.679744,0,1.957973,0,NA
"25501",60.592102,9.541056,0,2.280551,0,NA
"25502",63.711544,12.75072,0,2.325562,0,NA
"25503",65.156897,13.945184,0,2.554367,0,NA
"25504",72.83782,15.894432,0,2.903202,0,NA
"25505",75.818667,16.842813,0,3.154401,0,NA
"25506",79.523573,18.386566,0,3.537223,0,NA
"25507",87.878107,19.444848,0,4.002217,0,NA
"25508",94.885431,21.310423,0.003664,4.204885,0,NA
"25509",103.260517,24.885252,0.010992,4.380947,0.043967,NA
"25510",110.420304,27.106272,0.010992,4.771153,0.135568,NA
"25511",105.924388,28.121885,0.021985,4.943815,0.476332,NA
"25512",116.45623,30.814921,0.282134,5.397674,0.751137,NA
"25513",116.984062,35.676368,0.31144,5.569961,0.831728,NA
"25514",119.095736,32.697536,0.487312,5.820807,1.454608,NA
"25515",123.826282,42.249584,0.75112,5.87218,1.370336,NA
"25516",123.367865,45.3502,0.996627,6.43839,1.26044,NA
"25517",123.551135,49.332096,0.923328,6.49462,1.421632,NA
"25518",126.966668,55.44266,1.084525,7.052059,1.417943,NA
"25519",134.376967,58.877807,1.205476,7.363109,1.212804,NA
"25520",137.809075,61.749392,1.168816,6.920663,1.44728,NA
"25521",145.639174,60.628208,1.359344,6.500907,1.725744,NA
"25522",161.338182,61.838227,1.733097,7.288268,2.011565,NA
"25523",168.920623,63.438496,2.293664,8.279466,1.817344,NA
"25524",177.509864,68.557104,2.480528,8.322332,2.092144,NA
"25525",174.688774,75.317184,2.740672,8.420936,1.982224,NA
"25526",180.622676,82.663504,3.030128,7.751954,2.21672,NA
"25527",197.337053,83.176464,2.487856,7.544839,1.165152,NA
"25528",210.305446,89.71304,2.883568,8.887727,3.176688,NA
"25529",213.123221,94.406624,4.36016,9.676066,3.814224,NA
"25530",232.519456,99.169824,5.243184,10.950501,4.316192,NA
"25531",231.492925,106.104774,6.170118,12.59276,5.199167,NA
"25532",253.289252,116.759685,7.199698,14.389872,5.953949,NA
"25533",273.171658,121.857312,10.310496,16.005568,4.96472,NA
"25534",291.856287,127.671122,12.776272,16.411638,6.628126,NA
"25535",317.17204,133.615088,15.2056,18.228972,7.470896,NA
"25536",339.625896,150.714021,18.517739,20.790914,11.002922,NA
"25537",366.514068,158.166611,21.097187,22.347914,9.870757,NA
"25538",393.043111,166.422544,23.563184,24.503037,7.833632,NA
"25539",411.415002,188.0548,27.256496,25.156198,3.565072,NA
"25540",433.121813,186.878656,26.996352,26.602355,3.70064,NA
"25541",455.720366,198.9552,28.996896,28.540079,4.056048,NA
"25542",471.723186,216.281275,39.050735,31.103789,3.290257,NA
"25543",504.498913,243.160345,39.746906,34.079363,3.71528,NA
"25544",527.722798,244.201936,46.023504,37.41816,3.568736,NA
"25545",524.125992,262.892,47.59536,39.026475,3.312256,NA
"25546",560.528326,300.510056,42.315536,44.59248,3.00448,NA
"25547",572.87681,312.286549,43.872736,45.957013,3.110736,NA
"25548",582.083456,316.115271,43.568933,46.739658,3.224343,NA
"25549",598.598121,324.587833,47.133696,49.111237,2.744336,NA
"25550",625.890755,329.936696,49.987952,50.880079,2.029856,NA
"25551",669.968548,347.518127,49.584753,55.544666,1.90161,NA
"25552",721.469674,351.646194,50.438624,59.686569,1.68544,NA
"25553",773.565357,368.891165,49.442016,64.905401,1.839328,NA
"25554",842.478182,391.02779,52.695648,68.333266,2.41824,NA
"25555",910.796506,412.316303,63.046601,73.244725,2.114133,NA
"25556",983.94822,431.609933,112.684767,81.267957,1.905276,NA
"25557",1015.983089,438.373461,134.24424,86.02924,1.864976,NA
"25558",1089.807084,458.909201,136.364239,91.314496,2.077488,NA
"25559",1244.606043,488.554125,125.604798,100.237156,3.592229,NA
"25560",1319.99865,495.642138,110.689227,107.819842,3.265635,NA
"25561",1447.354894,511.166221,109.4675,115.824896,3.529493,NA
"25562",1487.461399,554.788779,106.870633,117.507915,4.137466,NA
"25563",1529.990408,613.165557,113.622467,123.281311,3.756221,NA
"25564",1560.98815,631.08743,118.922003,121.047241,2.823083,NA
"25565",1677.600364,655.190293,126.201229,138.964893,2.489684,NA
"25566",1677.653708,674.011463,128.675994,143.664137,2.454171,NA
"25567",1588.060207,603.60216,127.63538,122.908202,2.805994,NA
