Coal,Oil,Gas,Cement,Flaring,Other
43.352377,0.857447,0,NA,0,NA
48.562709,0.718091,0,NA,0,NA
53.47608,0.839056,0,NA,0,NA
56.876344,1.139432,0,NA,0,NA
51.578128,1.26408,0,NA,0,NA
57.290304,1.278736,0.029312,NA,0,NA
66.204747,1.234835,0.04397,NA,0,NA
70.4404,1.055232,0.047632,NA,0,NA
78.175104,0.967296,0.051296,NA,0,NA
73.250688,0.959968,0.069616,NA,0,NA
65.834752,0.916,0.058624,NA,0,NA
70.495408,0.875651,0.058621,NA,0,NA
75.090016,0.76944,0.047632,NA,0,NA
78.537877,0.773068,0.036638,NA,0,NA
81.153936,0.817072,0.040304,NA,0,NA
81.8025,0.762078,0.040302,NA,0,NA
88.668833,0.762081,0.051294,NA,0,NA
89.643424,0.802416,0.047632,1.897096,0,NA
91.863808,0.853712,0.051296,2.111519,0,NA
83.370656,0.864704,0.076944,1.853485,0,NA
75.137779,0.839017,0.139225,1.787984,0,NA
75.353824,0.692496,0.0916,1.842582,0,NA
88.273088,0.619216,0.084272,2.365919,0,NA
98.033869,0.78046,0.084275,2.30422,0,NA
102.441776,0.963632,0.07328,2.903793,0,NA
112.613174,1.080846,0.073278,3.081776,0,NA
121.26753,1.084512,0.095261,2.98366,0,NA
127.833405,1.08085,0.091597,2.729271,0,NA
124.15108,0.989252,0.098925,2.507584,0,NA
150.125072,0.916,0.102592,2.100616,0,NA
150.832314,0.791405,0.098926,2.881919,0,NA
144.81601,0.725454,0.098926,2.151443,0,NA
147.94859,0.747474,0.08061,1.860799,0,NA
136.48406,0.703469,0.080606,1.464578,0,NA
75.306192,0.67784,0.07328,0.577851,0,NA
51.592784,0.589904,0.065952,0.45792,0,NA
68.795264,0.556928,0.069616,0.61056,0,NA
86.583984,0.487312,0.0916,0.919474,0,NA
96.103056,0.593568,0.102592,1.620891,0,NA
95.729328,4.47008,0.135568,2.20601,0,NA
111.00088,9.057408,0.161216,3.238147,0,NA
113.939871,12.768681,0.179531,3.517888,0,NA
119.178928,22.042624,0.216176,4.332067,0,NA
113.008752,23.973552,0.2748,5.276981,0,NA
108.890416,27.417712,0.344416,5.222466,0,NA
121.380992,32.349456,0.468992,6.436317,0,NA
136.038007,43.890201,0.637524,7.501016,0,NA
126.484944,46.342272,0.926992,7.406671,0,NA
125.847408,57.0668,1.17248,8.533299,0,NA
139.144064,80.615328,1.601168,11.139081,0,NA
160.86634,107.701011,2.044538,12.175009,0,NA
154.214096,121.762048,2.660064,14.228222,0,NA
155.338944,151.022752,3.671328,14.802439,0,NA
160.206765,178.38002,4.004711,16.299598,0,NA
165.748368,200.955744,3.60904,16.158027,0,NA
170.450769,226.180696,3.700672,18.91298,0,NA
