"","Coal","Oil","Gas","Cement","Flaring","Other"
"45586",0.012342,0,0,0,0,NA
"45587",0.015427,0,0,0,0,NA
"45588",0.017934,0,0,0,0,NA
"45589",0.025648,0,0,0,0,NA
"45590",0.032012,0,0,0,0,NA
"45591",0.026612,0,0,0,0,NA
"45592",NA,NA,NA,NA,NA,NA
"45593",0.026227,0,0,0,0,NA
"45594",0.031048,0,0,0,0,NA
"45595",0.040304,0,0,0,0,NA
"45596",0.043389,0,0,0,0,NA
"45597",0.044354,0,0,0,0,NA
"45598",0.053032,0,0,0,0,NA
"45599",0.055731,0,0,0,0,NA
"45600",0.0889,0,0,0,0,NA
"45601",0.095457,0,0,0,0,NA
"45602",0.098928,0,0,0,0,NA
"45603",0.11397,0,0,0,0,NA
"45604",0.13094,0,0,0,0,NA
"45605",0.123419,0,0,0,0,NA
"45606",0.130747,0,0,0,0,NA
"45607",0.154081,0,0,0,0,NA
"45608",0.181657,0,0,0,0,NA
"45609",0.235846,0,0,0.005738,0,NA
"45610",0.2721,0,0,0.012051,0,NA
"45611",0.318759,0,0,0.014737,0,NA
"45612",0.339586,0,0,0.017224,0,NA
"45613",0.477477,0,0,0,0,NA
"45614",0.592016,0,0,0.031188,0,NA
"45615",0.801645,0,0,0,0,NA
"45616",0.859883,0,0,0.034048,0,NA
"45617",0.956111,0,0,0.030796,0,NA
"45618",0.920042,0,0,0.03635,0,NA
"45619",0.984454,0,0,0.026019,0,NA
"45620",0,0,0,0.003634,0,NA
"45621",0.48362,0,0,0.003662,0,NA
"45622",0.890322,0,0,0.007298,0,NA
"45623",1.663456,0,0,0.007269,0,NA
"45624",2.165424,0,0,0.010903,0,NA
"45625",1.678959,0.497469,0,0.007256,0,NA
"45626",2.36328,0.556928,0,0.003634,0,NA
"45627",2.780976,0.663184,0,0.018171,0,NA
"45628",3.663196,1.008387,0,0.021823,0,NA
"45629",4.06704,1.06256,0,0.029074,0,NA
"45630",5.29448,1.121184,0,0.029074,0,NA
"45631",6.096896,1.436288,0,0.021806,0,NA
"45632",6.697792,1.469264,0,0.047246,0,NA
"45633",7.173365,1.689791,0,0.145431,0,NA
"45634",8.892528,2.150768,0,0.17808,0,NA
"45635",10.240208,2.085425,0,0.214485,0,NA
"45636",11.900672,2.29,0,0.258034,0,NA
"45637",13.919536,2.953184,0,0.388868,0,NA
"45638",16.770878,3.927126,0,0.385167,0,NA
"45639",18.33163,3.249432,0,0.614093,0,NA
"45640",19.635376,4.547024,0,0.795908,0,NA
"45641",22.526272,6.525584,0,0.930377,0,NA
"45642",23.411738,10.494791,0,1.206708,0,NA
"45643",20.045744,15.385136,0,1.766262,0,NA
"45644",20.031088,20.049408,0,2.387725,0,NA
"45645",23.282643,27.555159,0,2.878549,0,NA
"45646",23.5412,31.602,0,3.390536,0,NA
"45647",24.517998,32.538006,0,3.191058,0,NA
"45648",28.760179,40.199761,0,4.014695,0,NA
"45649",29.535504,41.681664,0,4.333343,0,NA
"45650",30.678672,46.034496,0,4.95263,0,NA
"45651",33.796736,53.516384,0,5.791436,0,NA
"45652",37.06136,61.489248,0,6.909091,0,NA
"45653",36.350544,69.421808,0,7.346944,0,NA
"45654",46.00152,78.92256,0,7.950163,0,NA
"45655",49.423696,77.555888,0,7.544842,0,NA
"45656",59.926824,72.131592,0,7.531313,0,NA
"45657",60.570178,71.60432,0,8.607403,0,NA
"45658",64.558053,74.360516,0,10.215041,0,NA
"45659",77.640909,73.28356,0,9.775988,0,NA
"45660",87.829007,71.167753,0,9.760908,0,NA
"45661",91.148648,73.84388,0.146382,11.158335,0,NA
"45662",92.276262,76.398567,4.477065,12.206487,0,NA
"45663",98.915259,92.495814,5.78345,13.758943,0,NA
"45664",96.027959,107.45679,5.598402,14.427235,0,NA
"45665",94.307994,130.9471,6.433053,15.87303,0,2.94966
"45666",94.093881,151.671116,7.441428,18.96226,0,3.51954
"45667",91.320434,173.97151,9.732989,21.12886,0,3.75162
"45668",99.619867,189.426779,12.159055,24.70049,0,4.26776
"45669",101.801474,206.57279,16.185652,26.83997,0,4.29495
"45670",105.299908,226.078783,19.573693,28.10457,0,4.6085
"45671",122.689419,239.471456,25.85926,28.3085,0.062289,4.66744
"45672",133.312908,246.07021,31.427281,29.32037,0.021984,4.83685
"45673",137.598389,183.586116,29.399206,22.87895,0.014656,4.57512
"45674",145.634742,200.628185,35.797459,23.71944,0.01832,4.73898
"45675",163.883136,206.229051,40.204095,24.75589,0,4.90852
"45676",174.625609,206.08268,44.163024,25.66529,0,5.09403
"45677",187.636519,207.115517,49.069014,27.10707,0,5.13676
"45678",195.319077,205.372465,51.400623,27.9204,0,5.20022
"45679",203.137986,196.255763,60.234056,26.12359,0,5.63803
"45680",209.293477,195.069382,65.26958,23.32588,0,5.72998
"45681",216.428256,190.054239,67.995038,23.13968,0,5.86097
"45682",228.427157,187.258138,73.37012,26.27512,0,6.37818
"45683",253.041243,171.08832,75.92433,26.07981,0,6.51706
"45684",262.394545,172.708274,72.171182,24.55339,0,5.99244
"45685",295.050323,176.156433,91.541235,24.29735,0,7.29377
"45686",320.169094,171.468675,98.512948,24.7206,0,8.57152
"45687",316.989866,170.817246,106.566313,24.8486,0,8.72101
"45688",320.643622,168.582207,111.530864,25.05014,0,8.77387
"45689",331.303871,161.53353,101.445313,25.41199,0,9.67178
"45690",335.411292,170.593973,92.588923,25.77871,0,9.80438
"45691",320.697359,184.034149,96.655486,26.67176,0,9.85533
"45692",337.668762,179.413376,100.860571,26.35058,0,10.24398
"45693",340.3476,177.632938,117.17267,24.70206,0,10.31343
"45694",321.60607,175.797343,113.58643,24.9299,0,10.18252
"45695",282.883413,165.067876,116.63454,22.865592,0.000301,10.18252
