Coal,Oil,Gas,Cement,Flaring,Other
14.626688,0.102592,0,NA,0,NA
15.88344,0.098928,0,NA,0,NA
17.253776,0.120912,0.043968,NA,0,NA
17.0376,0.234496,0.029312,NA,0,NA
14.993088,0.282128,0.03664,NA,0,NA
17.447968,0.278464,0.139232,NA,0,NA
15.53536,0.21984,0.095264,NA,0,NA
16.455024,0.172208,0.106256,NA,0,NA
15.53545,0.333347,0.058611,NA,0,NA
13.461536,0.49464,0.098928,NA,0,NA
14.322576,0.425024,0.098928,NA,0,NA
14.469252,0.417594,0.054947,NA,0,NA
16.740816,0.472656,0,NA,0,NA
17.722768,0.666848,0,NA,0,NA
18.323524,0.729276,0,NA,0,NA
17.51392,0.80608,0.058624,NA,0,NA
20.225488,1.058715,0.161188,NA,0,NA
19.485152,1.260416,0,0.7632,0,NA
21.65424,1.414304,0,0.901302,0,NA
20.562845,1.872014,0.293075,0.90843,0,NA
19.184704,2.224048,0.315104,0.806811,0,NA
17.905968,2.231376,0.333424,0.705051,0,NA
15.667264,2.000544,0.344416,0.694148,0,NA
16.385408,2.835936,0.351744,0.672343,0,NA
18.730368,2.69304,0.362736,0.668708,0,NA
7.416227,0,0.340597,0.297876,0,NA
4.796176,0,0.260144,0.188983,0,NA
12.655456,0,0.271136,0.294377,0,NA
14.80256,0,0.322432,0.588754,0,NA
20.452448,0,0.395712,0.770468,0,NA
20.470768,0,0.227168,0.810445,0,NA
21.943696,0,0.300448,0.81408,0,NA
22.665504,0,0.344416,0.83952,0,NA
24.497689,0,0.381002,0.912076,0,NA
25.087408,1.864976,0.362736,0.952182,0,NA
25.021456,1.619488,0.38472,1.061211,0,NA
24.38392,5.298144,0.410368,1.079382,0,NA
25.468464,5.646224,0.447008,1.152068,0,NA
27.359949,6.79236,0.490926,1.111977,0,NA
26.51198,5.276745,0,1.246698,0,NA
26.446013,5.313388,0,1.355738,0,NA
29.158112,6.97992,0,1.464616,0,NA
30.106256,7.215095,0,1.610139,0,NA
30.076885,7.764732,0,1.882733,0,NA
29.60512,8.526128,0,2.140593,0,NA
29.590464,10.40576,0,2.336845,0,NA
33.441328,14.315248,0,2.456776,0,NA
36.152688,17.088896,0,2.631222,0,NA
32.763488,16.484336,0,2.831107,0,NA
31.796192,14.23464,0,2.834742,0,NA
33.57919,16.752952,0,3.274714,0,NA
34.51488,21.85576,0,3.60521,0,NA
34.47824,20.430464,0.003664,3.830535,0,NA
32.543648,27.575264,0.003664,4.201232,0,NA
34.470912,31.752224,0.007328,4.789986,0,NA
31.920768,39.714096,0.014656,5.967494,0,NA
32.140608,47.588032,0.007328,6.658008,0,NA
32.735412,56.885747,0.003664,7.392413,0,NA
32.795223,55.749314,0.128235,8.064171,0,NA
36.378715,71.969695,0.164875,8.2532,0,NA
35.130432,84.077808,0.817072,8.433242,0,NA
36.184749,97.342691,1.626775,9.562046,0,NA
35.11944,106.816592,2.158096,10.863208,0,NA
36.74992,123.1104,2.07016,10.735213,0,NA
41.140223,125.809644,2.539203,11.564552,0,NA
40.61544,141.7968,3.312256,12.021452,0,NA
44.356384,134.131712,3.066768,13.274227,0,NA
36.230295,145.943453,3.088808,14.251321,0,NA
42.153561,144.010928,3.506385,13.075674,0,NA
49.251488,147.633552,3.986432,13.040435,0,NA
56.761684,131.623208,4.407714,13.303598,0,NA
66.296416,123.91648,4.788848,13.59679,0,NA
69.348528,115.045936,5.038,14.002683,0,NA
69.517072,111.814288,4.785184,11.550656,0,NA
75.007111,108.621259,5.382514,10.920511,0,NA
73.439802,99.717504,5.023247,10.778226,0.153885,NA
70.319488,103.310144,5.485008,10.254178,0.139232,NA
60.992068,117.568934,7.507674,11.24632,0.142899,NA
75.42466,127.150185,10.123796,12.040211,0.146562,NA
79.876376,122.327018,12.076059,12.279006,1.768993,3.000987
82.396347,128.803076,13.475624,11.700779,1.753761,2.944711
85.649652,134.553241,14.585486,10.438315,1.854891,2.857643
82.449019,130.04177,14.184076,9.913558,1.838398,2.872097
82.940908,138.906152,15.228302,11.498993,2.089437,3.139996
85.879299,145.250782,18.895139,12.364557,1.863344,3.324347
72.659255,143.823659,21.306301,12.114612,1.794349,3.350885
75.331434,146.687953,27.506457,12.751534,1.815074,3.497397
73.455559,154.789802,28.480628,13.808942,1.94209,3.707584
83.53114,163.294663,32.520403,14.431604,1.993692,3.950638
88.321494,165.052201,37.172468,14.727624,2.132561,4.268277
81.098083,171.189678,39.990182,15.014369,2.037955,4.29033
90.916846,175.679221,45.048964,15.530168,2.068617,4.486492
84.293098,179.938233,51.303426,16.037506,1.900389,4.573219
87.367004,185.389258,58.762093,16.292143,2.233623,4.783836
87.765558,189.451699,68.937969,16.791774,2.296656,4.822123
77.952428,184.882685,74.038402,16.744749,2.416184,5.085883
84.629074,184.494471,75.655576,16.82391,2.565329,4.817222
59.334167,174.472981,82.552072,14.389498,2.304122,4.129581
45.080875,162.251827,73.709926,11.401951,2.256497,3.046724
36.352366,157.646533,73.658981,11.197403,2.279813,3.14759
54.21535,147.313722,68.060346,9.522689,2.739058,3.281089
63.252868,135.963781,65.115347,8.754204,3.379174,2.919581
49.190519,130.466471,59.096933,7.642356,3.834517,2.871917
54.142112,131.138517,54.292446,8.896821,4.064612,2.924593
61.840899,137.710148,56.649537,9.216019,3.706671,3.041386
45.677289,141.796009,57.702443,9.413649,3.763629,2.874637
53.592704,142.571508,62.580146,9.448701,3.823099,3.037047
48.066131,143.531398,61.902589,9.667446,3.793986,3.090723
23.622477,141.220887,71.252814,9.064168,3.644884,3.019919
14.300041,120.283595,64.320816,8.191764,3.558305,2.685201
