Coal,Oil,Gas,Cement,Flaring,Other
1143.127696,88.170496,25.087408,0.007117,0,2.27385
1224.395216,89.320992,27.494656,0.00746,0,2.3472
1304.578192,107.076736,28.458288,0.008322,0,2.42055
1172.135584,114.617248,28.9456,0.007972,0,2.27385
1213.597408,120.93032,30.74096,0.007762,0,2.42055
1345.442784,133.981488,36.834192,0.008268,0,2.71395
1481.644656,147.941328,38.882368,0.008369,0,2.4939
1551.13608,159.189808,35.258672,0.006405,0,2.12715
1261.251392,179.217232,36.482448,0.007282,0,2.2005
1465.534048,230.645136,39.710432,0.00893,0,2.3472
1142.651376,246.360032,32.961344,0.008819,0,1.68705
1112.891549,282.487794,37.948145,0.010265,0,2.42055
1509.469072,334.41328,50.127184,0.012311,0,2.71395
1313.206912,325.557392,56.82864,0.01338,0,2.71395
1340.480885,341.243694,59.173725,14.206371,0,3.0807
1477.933024,345.266048,65.336448,14.505546,0,3.00735
1376.69304,396.20664,71.938976,15.066433,0,2.934
1330.157574,404.402197,78.054036,15.417118,0,2.934
1404.589697,445.598193,95.462034,14.995672,0,2.86065
1238.165588,393.406517,96.784356,14.285978,0,2.27385
1021.481756,366.620746,84.213584,10.809309,0,1.83375
834.232974,337.650287,77.954809,6.655725,0,1.3203
889.861024,373.786624,78.101824,5.587021,0,1.54035
963.920254,374.993038,88.811923,6.899747,0,1.6137
982.155935,405.20642,96.293821,6.684341,0,1.98045
1143.798208,448.356352,108.813472,9.949767,0,2.4939
1144.951048,513.635228,120.94156,10.368091,0,2.71395
906.793837,482.195889,115.320457,9.239152,0,2.2005
1024.987932,508.157612,124.121937,10.792336,0,2.86065
1168.881952,557.620496,133.706688,11.548563,0,3.2274
1294.762336,588.735184,141.532992,14.520138,0,4.03425
1458.596868,565.693233,153.855281,16.085343,0,4.03425
1470.80288,612.935904,171.95152,12.041096,0,4.32765
1545.850271,700.119733,186.574264,8.031586,0,4.32765
1421.423152,727.37728,197.676464,9.113674,0,3.9609
1298.758208,737.018463,203.103178,14.653015,0,3.9609
1449.230772,791.342223,224.086245,16.647496,0,4.5477
1433.190294,874.345227,251.76479,18.417082,0,4.8411
1063.102272,813.723104,265.068416,18.787669,0,4.18095
1257.231984,896.80064,319.218672,20.124553,43.121616,4.9878
1211.598563,960.661843,376.209056,22.040595,42.700316,5.50125
1074.173334,1000.966719,402.786604,22.255513,45.682686,5.35455
1065.955029,1050.078939,423.341629,23.520854,43.619859,6.4548
913.446192,1063.212192,443.999856,24.130537,38.951984,5.7213
1026.22183,1147.903433,479.189557,26.583754,41.64508,6.96825
1068.35782,1203.786762,505.88913,28.39027,46.529196,7.0416
1024.080672,1193.661584,540.645184,27.00551,43.557632,6.82155
888.344128,1220.046048,570.700976,27.757921,34.097184,6.1614
910.977838,1258.457393,593.209698,30.233983,30.755656,8.28855
917.963904,1281.63056,630.0248,28.79811,30.315936,8.58195
887.442784,1297.316144,636.414816,28.698812,28.198144,8.802
920.81816,1334.747568,676.367072,29.878497,22.921984,9.16875
987.00832,1359.256064,718.45544,31.435142,20.650304,9.6822
1049.17659,1393.919074,759.071735,33.025685,18.411621,10.7091
1090.618912,1464.691328,782.604752,33.29474,17.187824,11.1492
1132.718272,1529.661376,842.20704,34.572618,20.232608,12.0294
1163.048864,1589.194048,881.2836,33.593927,26.384464,11.95605
1139.602928,1689.422768,936.360848,35.319774,27.817088,12.39615
1157.999872,1781.627328,1018.082704,35.696994,28.315392,13.42305
1168.090528,2038.08168,1059.211104,34.924149,26.248896,13.12965
1107.406428,2097.304811,1096.927397,35.509772,15.260547,13.0563
1124.840672,2269.173824,1115.673344,36.523491,13.307648,13.4964
1220.645,2325.358,1174.859,36.917057,13.186736,14.0832
1199.284,2227.464,1134.215,36.806315,8.899856,14.3766
1195.032,2190.352,1042.504,30.463225,7.111824,12.7629
1281.173,2350.579,1062.805,32.370021,7.338992,13.4964
1315.721,2478.311,1041.058,33.978903,7.262048,13.27635
1314.183,2524.642,1045.228,35.61582,8.123094,13.56975
